38459.city,MIRAMAR BEACH,ST FRANCIS
45446.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Failure Patients Given Discharge Instructions
9204.condition,Heart Failure,Heart Attack
8529.stateavg,MA_AMI-1,CA_SCIP-INF-3
16594.condition,Heart Failure,Heart Attack
1574.stateavg,FL_AMI-7A,AL_AMI-5
12722.stateavg,CA_PN-4,CA_SCIP-INF-1
28116.address1,300 CANAL STREET,2875 WEST 19TH STREET
45958.city,DELANO,CHEVERLY
31385.address1,4929 VAN NUYS BLVD,5454 HOHMAN AVE
39374.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
31991.condition,Heart Failure,Heart Attack
34521.address1,204 NORTH 4TH AVENUE EAST,800 MERCY DRIVE
17092.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7392.stateavg,IA_HF-3,CA_SCIP-INF-4
11794.stateavg,GA_SCIP-INF-3,CA_AMI-3
3330.stateavg,AK_SCIP-INF-6,AZ_AMI-3
48595.city,ALEXANDRIA,BURLINGTON
30791.stateavg,LA_SCIP-INF-2,IL_PN-3B
13890.city,DECATUR,WHITTIER
29050.address1,902 7TH STREET NORTH,7531 S STONY ISLAND AVE
11971.condition,Heart Attack,Surgical Infection Prevention
15570.condition,Heart Failure,Surgical Infection Prevention
39516.city,HOMER,HARPER
49461.condition,Surgical Infection Prevention,Heart Attack
16797.address1,1102 N PINE ROAD,410 BENEDICTA AVENUE
1229.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9428.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
31579.city,WALNUT CREEK,SOUTH BEND
10503.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15162.stateavg,IN_AMI-2,CA_HF-2
18171.stateavg,CA_PN-6,FL_AMI-8A
22996.stateavg,CA_HF-2,GA_PN-3B
7650.condition,Surgical Infection Prevention,Pneumonia
41901.city,ENGLEWOOD,FRANKLIN
30377.condition,Surgical Infection Prevention,Heart Attack
30940.city,TROY,HARVARD
43690.stateavg,FL_AMI-8A,LA_AMI-3
16974.condition,Heart Failure,Heart Attack
9866.stateavg,GA_HF-3,CA_PN-7
42320.condition,Heart Failure,Heart Attack
916.condition,Heart Attack,Heart Failure
6212.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
41554.stateavg,CA_HF-1,KY_SCIP-INF-6
42016.city,PINEVILLE,SCOTTSVILLE
12549.measurename,Heart Failure Patients Given Discharge Instructions,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
704.city,RUSTON,TALLASSEE
33800.stateavg,FL_SCIP-INF-6,IN_PN-5C
30999.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
16885.address1,2260 WRIGHTSBORO RD,0401 CASTLE CREEK ROAD
32906.address1,1210 KY HWY 36 E,2605 N LEBANON ST
45630.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
8810.stateavg,CA_PN-3B,CA_HF-4
17981.address1,2170 SOUTH AVENUE,2041 GEORGIA AVE NW
25592.city,EAST CHICAGO,BLAKELY
43686.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
1483.address1,35 MILES STREET,295 JACKSON HWY S
29659.address1,13500 N MERIDIAN ST,801 SOUTH WASHINGTON
38600.city,COLUMBIA,KINSLEY
41950.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
26792.address1,800 E CARPENTER ST,1501 HILAND AVENUE
777.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
11052.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
29939.city,VACAVILLE,ROCK ISLAND
22299.stateavg,CA_HF-4,FL_SCIP-INF-4
25096.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45314.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10903.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
15467.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
42434.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients who were given the  right kind  of antibiotic to help prevent infection
26331.city,DECATUR,KAHUKU
21654.city,LE MARS,TAMPA
23685.condition,Pneumonia,Heart Failure
11755.stateavg,DE_AMI-1,CA_PN-4
12376.stateavg,AL_SCIP-CARD-2,CA_SCIP-INF-6
68.city,LAKE FOREST,BOAZ
5175.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46759.condition,Pneumonia,Heart Failure
16890.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
5817.condition,Heart Attack,Heart Failure
25347.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
861.city,THOMASTON,HAMILTON
46994.stateavg,FL_AMI-8A,MD_HF-4
13087.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
46893.address1,363 HIGHLAND AVENUE,201 HALL HIGHWAY
182.city,NANTUCKET,GUNTERSVILLE
37812.city,COLUMBIA,LAWRENCE
11268.city,MIAMI BEACH,HEMET
14534.condition,Surgical Infection Prevention,Heart Attack
10305.city,COVINGTON,MORENO VALLEY
45209.stateavg,CA_SCIP-VTE-2,ME_AMI-8A
17019.stateavg,AL_PN-3B,CT_SCIP-INF-6
11493.stateavg,FL_HF-2,CA_PN-3B
29080.stateavg,KY_SCIP-INF-1,IL_SCIP-INF-2
1606.city,ANNISTON,FAIRHOPE
45509.address1,869 CHERRY AVE,194 E MAIN ST
21437.condition,Heart Failure,Surgical Infection Prevention
6072.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7065.address1,5451 WALNUT AVE,420 34TH ST BOX 1888
36534.city,DADEVILLE,CHEROKEE
8208.city,CHICAGO,SACRAMENTO
42804.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43324.city,BRADENTON,WINNFIELD
23301.stateavg,IA_SCIP-INF-1,GA_PN-5C
6292.address1,2701 N DECATUR ROAD,130 MEDICAL CIRCLE
7149.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Pneumonia Patients Assessed and Given Influenza Vaccination
9715.city,CARROLL,ARCADIA
26625.stateavg,AL_AMI-2,ID_AMI-1
25232.condition,Heart Attack,Surgical Infection Prevention
22767.address1,525 EAST GRANT STREET,201 HOSPITAL RD PO BOX 906
37614.address1,1328 22ND ST,9100 W 74TH STREET
28067.stateavg,MI_SCIP-INF-3,IL_HF-4
24563.address1,1202 S TYLER STREET,1500 E SHOTWELL STREET
46434.stateavg,IN_SCIP-INF-3,MD_HF-1
18945.stateavg,KS_SCIP-VTE-2,FL_AMI-3
29571.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Heart Failure Patients Given Smoking Cessation Advice/Counseling
35842.condition,Heart Attack,Pneumonia
536.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,surgery patients who were given the  right kind  of antibiotic to help prevent infection
28069.stateavg,IL_AMI-7A,IL_PN-3B
31818.stateavg,MD_SCIP-VTE-1,IN_AMI-3
44085.stateavg,GA_SCIP-INF-6,LA_SCIP-CARD-2
43049.city,COLUMBUS,SLIDELL
21455.stateavg,CA_SCIP-INF-4,FL_PN-4
29681.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
8826.condition,Pneumonia,Heart Attack
25864.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
1140.stateavg,CA_HF-2,AL_AMI-8A
47135.city,RANDALLSTOWN,BALTIMORE
22045.measurename,Heart Attack Patients Given Beta Blocker at Discharge,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
10402.condition,Heart Attack,Surgical Infection Prevention
44282.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
14901.condition,Pneumonia,Surgical Infection Prevention
11942.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9842.city,WEST BURLINGTON,SALINAS
48894.stateavg,CA_AMI-8A,MI_AMI-5
43931.stateavg,CA_SCIP-VTE-2,LA_PN-4
9037.address1,2333 BUCHANAN STREET,12401 E WASHINGTON BLVD
6344.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
3041.address1,1740 WEST TAYLOR ST SUITE 1400,1930 EAST THOMAS ROAD
27882.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given Smoking Cessation Advice/Counseling
33890.address1,2101 N WATERMAN AVE,416 E MAUMEE ST
37259.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43653.stateavg,IA_PN-5C,LA_PN-6
5640.city,BRIDGTON,JACKSONVILLE
33779.stateavg,IL_SCIP-CARD-2,IN_SCIP-INF-1
43331.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17940.stateavg,AL_PN-2,DE_PN-3B
28083.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Aspirin at Discharge
49303.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
44348.stateavg,KY_PN-7,LA_AMI-7A
26936.stateavg,KS_HF-2,IL_HF-1
43981.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Pneumonia Patients Given Smoking Cessation Advice/Counseling
1126.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
20547.stateavg,GA_PN-3B,FL_PN-7
43221.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23492.city,HOLLAND,BLAIRSVILLE
42325.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45469.city,NORWALK,ELLSWORTH
45182.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43958.stateavg,GA_AMI-2,LA_PN-6
30945.city,PEORIA,HARVARD
32797.condition,Heart Attack,Pneumonia
859.address1,2315 E MAIN STREET,1256 MILITARY STREET SOUTH
2184.city,JAY,JACKSONVILLE
48439.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
11639.city,GRAND RAPIDS,STANFORD
19207.city,SEDAN,MIAMI
29705.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
33438.stateavg,GA_SCIP-INF-6,IN_AMI-3
46928.address1,611 ST LANDRY STREET,5755 CEDAR LANE
14737.condition,Heart Attack,Heart Failure
27943.stateavg,FL_SCIP-INF-4,IL_PN-5C
10826.address1,211 HOSPITAL ROAD,207 W LEGION ROAD
26334.condition,Pneumonia,Surgical Infection Prevention
14127.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
12495.condition,Surgical Infection Prevention,Pneumonia
4358.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Given Smoking Cessation Advice/Counseling
27416.address1,1300 N VERMONT AVE,5TH STREET & ROOSEVELT AVENUE
770.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
20673.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39694.stateavg,CA_PN-4,KS_AMI-3
17199.address1,8954 HOSPITAL DRIVE,267 GRANT STREET
48464.address1,153 DOWELL ROAD; PO BOX 1610,1153 CENTRE STREET
34069.condition,Pneumonia,Heart Failure
37271.condition,Heart Attack,Heart Failure
40689.city,RANSOM,MOUNT STERLING
27044.city,CRAWFORDSVILLE,QUINCY
36991.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
11239.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
23769.stateavg,KY_SCIP-VTE-1,GA_SCIP-INF-1
6258.city,LAKEWOOD,WALNUT RIDGE
35022.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Attack Patients Given Aspirin at Discharge
16773.stateavg,AL_PN-2,CO_AMI-5
18478.city,WINFIELD,PENSACOLA
2973.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39771.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
7303.condition,Pneumonia,Heart Failure
31365.city,MUSCATINE,LAFAYETTE
35092.city,LONDON,SPENCER
47227.condition,Pneumonia,Surgical Infection Prevention
13721.address1,1215 FRANCISCAN DR,7601 EAST IMPERIAL HIGHWAY
7654.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
3093.stateavg,LA_SCIP-INF-2,AR_AMI-2
39652.city,GLENWOOD SPRINGS,FREDONIA
16577.address1,1111 11TH STREET,511 S WHITE AVE
11200.stateavg,IN_PN-7,CA_SCIP-INF-2
27896.condition,Heart Failure,Surgical Infection Prevention
30995.condition,Heart Failure,Pneumonia
27548.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15240.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
41694.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
30671.condition,Heart Attack,Surgical Infection Prevention
36105.stateavg,CA_HF-4,IA_AMI-4
36384.condition,Surgical Infection Prevention,Heart Attack
21870.stateavg,GA_PN-2,FL_SCIP-INF-3
19225.stateavg,KS_SCIP-INF-2,FL_SCIP-VTE-1
36221.condition,Heart Failure,Surgical Infection Prevention
30419.stateavg,GA_AMI-4,IL_SCIP-INF-3
18254.address1,401 NW 42ND AVE,8900 N KENDALL DR
36429.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
30617.city,FULLERTON,GENESEO
47467.condition,Pneumonia,Surgical Infection Prevention
42969.stateavg,IN_HF-3,LA_AMI-5
31472.address1,1501 S POTOMAC ST,4321 FIR STREET
42385.address1,2400 HOSPITAL DR,8166 MAIN STREET
46310.condition,Surgical Infection Prevention,Heart Failure
11432.city,NORWALK,FOLSOM
30476.address1,10000 BAY PINES BLVD.,900 N 2ND ST
44424.stateavg,ID_PN-2,LA_SCIP-VTE-2
29771.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Failure Patients Given Smoking Cessation Advice/Counseling
17512.address1,604 STONE AVENUE,80 SEYMOUR STREET
43058.address1,6601 WHITE FEATHER ROAD,360 BROADWAY
29272.address1,6601 WHITE FEATHER ROAD,1000 HEALTH CENTER DRIVE P O BOX 372
1382.measurename,Heart Attack Patients Given Aspirin at Discharge,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
2067.condition,Heart Attack,Surgical Infection Prevention
33342.stateavg,FL_PN-2,IN_AMI-8A
19459.address1,2400 EAST FOURTH STREET,3001 W MARTIN LUTHER KING JR BLVD
14661.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Heart Failure Patients Given Discharge Instructions
15395.city,LOVELAND,ALAMOSA
7737.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
24039.stateavg,CA_SCIP-INF-4,GA_HF-4
3802.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
16762.city,GLENDALE,RIFLE
41235.address1,901 GRANT STREET,1099 MEDICAL CENTER CIRCLE
24705.address1,7503 SURRATTS RD,1120 MORNINGSIDE DR
38241.city,VALENCIA,LEAWOOD
19605.condition,Surgical Infection Prevention,Pneumonia
6299.city,NEVADA,NASHVILLE
42715.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Heart Attack Patients Given Aspirin at Arrival
3460.stateavg,GA_PN-7,AZ_HF-1
43279.city,NAPA,RUSTON
41168.address1,1000 JOHNSON FERRY ROAD; NE,529 CAPP HARLAN ROAD
17756.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
34482.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
14261.address1,2000 WEST BETHANY HOME ROAD,1001 NORTH TUSTIN AVENUE
12778.city,ORANGE,SAN DIMAS
19412.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Failure Patients Given Discharge Instructions
7177.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),surgery patients who were given the  right kind  of antibiotic to help prevent infection
34757.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
37125.city,ABBEVILLE,HAYS
40574.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
49623.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Given Smoking Cessation Advice/Counseling
15901.address1,1125 MARGUERITE STREET,602 N 6TH W ST
3666.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46717.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
13635.stateavg,KS_SCIP-VTE-2,CA_SCIP-INF-4
43356.stateavg,KY_HF-3,LA_AMI-1
20855.measurename,Heart Failure Patients Given Discharge Instructions,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
41156.stateavg,CA_SCIP-INF-4,KY_AMI-5
17910.city,MIRAMAR,LEWES
47947.stateavg,KY_SCIP-INF-6,MA_AMI-2
42193.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
40622.condition,Surgical Infection Prevention,Pneumonia
34203.city,SACRAMENTO,BATESVILLE
5893.hospitaltype,Critical Access Hospitals,Acute Care - VA Medical Center
44399.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
6772.city,SPRINGFIELD,NAPA
49579.stateavg,CA_HF-4,MI_SCIP-INF-2
46710.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18133.address1,1808 SHERMAN DR,50 IRVING STREET; N.W.
26804.stateavg,ID_PN-4,ID_AMI-1
39010.stateavg,IN_AMI-7A,KS_AMI-1
27503.stateavg,LA_HF-2,IL_PN-5C
33234.stateavg,CA_SCIP-INF-6,IN_AMI-2
45497.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
42869.address1,16001 W NINE MILE RD,1401 FOUCHER STREET
5633.condition,Heart Attack,Surgical Infection Prevention
49189.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given Discharge Instructions
44340.stateavg,IN_AMI-7A,LA_SCIP-INF-6
33157.condition,Pneumonia,Surgical Infection Prevention
7689.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Heart Failure Patients Given Discharge Instructions
5037.stateavg,IN_PN-2,AR_HF-2
37015.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
47531.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
14258.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
49273.address1,1800 SPRING RIDGE DRIVE,100 MICHIGAN ST NE
47917.condition,Heart Attack,Surgical Infection Prevention
29503.condition,Heart Failure,Surgical Infection Prevention
13787.city,PLEASANTON,BALDWIN PARK
42058.condition,Heart Attack,Surgical Infection Prevention
4922.condition,Heart Attack,Surgical Infection Prevention
36246.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
885.address1,450 WEST HIGHWAY 22,1653 TEMPLE AVENUE NORTH
31327.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46173.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44462.condition,Surgical Infection Prevention,Pneumonia
6245.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
39626.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
16356.condition,Heart Failure,Surgical Infection Prevention
35591.city,SPRINGFIELD,MARENGO
10780.condition,Heart Attack,Surgical Infection Prevention
22937.condition,Surgical Infection Prevention,Heart Attack
7603.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43662.condition,Heart Attack,Surgical Infection Prevention
44057.condition,Surgical Infection Prevention,Pneumonia
6508.stateavg,AR_PN-7,AR_PN-5C
17760.address1,880 WEST MAIN,950 CAMPBELL AVENUE
26229.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
10561.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
38467.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
45053.stateavg,FL_AMI-2,ME_AMI-1
41793.condition,Surgical Infection Prevention,Heart Attack
36193.city,ORLANDO,SIBLEY
39127.city,PALM COAST,HARTFORD
13767.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
12685.address1,636 DEL PRADO BLVD,7901 WALKER STREET
27299.city,WOODLAND HILLS,STERLING
48789.hospitaltype,Acute Care Hospitals,Childrens
36793.address1,5353 REYNOLDS STREET,211 SHELLWAY DRIVE
8209.stateavg,AR_SCIP-VTE-2,CA_AMI-4
3483.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
22205.city,HOULTON,MIRAMAR BEACH
40718.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
43306.city,SPRINGFIELD,WINNFIELD
4115.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34693.condition,Surgical Infection Prevention,Heart Attack
36994.stateavg,IA_SCIP-VTE-1,IA_PN-3B
44619.city,ENGLEWOOD,BATON ROUGE
6457.condition,Surgical Infection Prevention,Pneumonia
33153.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
41078.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10517.city,FLAGSTAFF,ROSEVILLE
31894.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Heart Attack Patients Given Smoking Cessation Advice/Counseling
13989.condition,Pneumonia,Heart Attack
4047.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
32174.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
18278.condition,Heart Attack,Heart Failure
3137.condition,Heart Attack,Surgical Infection Prevention
1088.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given Discharge Instructions
9299.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
27157.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45371.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
41125.condition,Heart Attack,Surgical Infection Prevention
47265.city,BENTON,CAMBRIDGE
19634.condition,Pneumonia,Surgical Infection Prevention
14264.address1,20201 S CRAWFORD AVENUE,1001 NORTH TUSTIN AVENUE
42749.stateavg,IL_HF-2,LA_HF-3
9756.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
47584.address1,1710 LAFAYETTE RD,736 CAMBRIDGE STREET
12047.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46774.address1,400 CEDAR STREET,219 S WASHINGTON ST
39980.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39431.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,surgery patients who were given the  right kind  of antibiotic to help prevent infection
17387.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
9317.stateavg,AZ_SCIP-VTE-2,CA_SCIP-CARD-2
43135.stateavg,FL_AMI-1,ME_SCIP-INF-1
40016.stateavg,CA_SCIP-INF-1,KY_SCIP-VTE-2
10636.address1,2190 HIGHWAY 85 NORTH,1411 E 31ST ST
36228.condition,Surgical Infection Prevention,Heart Attack
26453.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7136.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Smoking Cessation Advice/Counseling
29856.stateavg,IL_SCIP-CARD-2,IL_PN-3B
222.stateavg,IA_HF-3,AL_AMI-3
25638.city,DECATUR,FORSYTH
11997.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
18392.condition,Surgical Infection Prevention,Pneumonia
43140.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
28189.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
43141.stateavg,AL_SCIP-INF-3,LA_HF-4
4047.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
31633.city,SARASOTA,FORT WAYNE
23007.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
42111.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
2274.stateavg,CA_AMI-5,AL_SCIP-VTE-2
45731.condition,Heart Attack,Pneumonia
12925.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38642.city,CHIPLEY,SEDAN
45733.address1,309 JACKSON STREET,20 HARTFORD STREET
17651.condition,Surgical Infection Prevention,Heart Attack
6276.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
27270.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Failure Patients Given Smoking Cessation Advice/Counseling
41253.condition,Pneumonia,Heart Attack
36443.stateavg,CT_AMI-7A,IA_PN-2
18368.city,FULTON,DAYTONA BEACH
12397.address1,9901 MEDICAL CTR DR,301 VICTORIA STREET
38735.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given Smoking Cessation Advice/Counseling
