reaction(1478,WTPOzrd5274,UESGfwa0830,OAYUmzi3233,N_320406)
reaction(2651,ANRSrji5777,HYGPwrn7097,STKErcs5877,N_345038)
reaction(34284,KMOEmix2962,ACEDyen4862,TOQVrph0432,N_345049)
reaction(33722,BQUWgdq8016,NXTPjzt9452,SXIXfht0308,N_345060)
reaction(13890,MGPDuwm6302,YPORope0516,VOCQbat9318,N_345071)
reaction(14178,NDZJuna3979,ESFDupu9930,SGCBrdz2922,N_341745)
reaction(28897,ESRTglf0609,PDXPuhd6255,GHGWnhi4024,N_345088)
reaction(35331,PIOCohg7527,IZFZkjd2673,TCIElfu1793,N_339458)
reaction(38040,GTBOpue6807,VOHWbom5534,MOHClys8851,N_333240)
reaction(29506,KKDQlue5300,HGQPxmt3651,GMPUshy6258,N_345111)
reaction(14728,MOIZeoo4334,YEVJwxf2847,QUSRqqg6848,N_345122)
reaction(26958,ZDCHhux8596,PTMFdmn2547,URHJxgq8701,N_330621)
reaction(3144,BGBMwqj8085,MBCZzux2397,DJWThmj4051,N_345139)
reaction(10371,JNODxag7632,PSNEokz9099,HXCHksg6008,N_338926)
reaction(27931,YTACnqc9189,XULHxoi8240,PNNMpyv0005,N_345156)
reaction(30495,ZLSRmqu7866,KFHQdtp4942,NAHOgrd7874,N_320582)
reaction(37832,LLFWlsa4924,QLZCsyj8599,KTLNrrt8367,N_345173)
reaction(304,OWUIdin7791,XFGErle8622,AONRovh2842,N_345184)
reaction(10115,RGAZdkn2163,NYPXugl1731,QQTFhik2321,N_333066)
reaction(25301,ECLNwhm1881,JOLYjnz8072,IVEHwaj1878,N_342041)
reaction(18984,WMXYdyj6378,EBRJewm3957,MUKHmms2149,N_330732)
reaction(22734,ADTCkyl5498,SJNIwhv3301,EQGAcxp2915,N_336220)
reaction(34830,FKRVbii0024,HDWZghg6097,XEVRumj5806,N_341717)
reaction(5800,XRBUyru5073,NQCYicx0980,OVHVcut1314,N_325263)
reaction(19293,QSIYjqn2465,FEXVmxi5361,ETTTjmx6671,N_345231)
reaction(18458,EOPLskw7976,GSUEgnn2647,NXAKqij1214,N_323011)
reaction(12065,MBTXhta0461,JJOEquh4804,VVBVacy4777,N_330128)
reaction(18470,AOQGmyg2476,KGTXcam8847,KDPEydb5850,N_345254)
reaction(28804,EKFBlmf6241,QYRBcll3084,XCOIerc3961,N_345265)
reaction(4614,POAIfkp0090,CRCMfip5366,TDLEipf7093,N_344443)
reaction(28515,OWJLvjn6236,VDEKdso9039,JNVNmms6259,N_344624)
reaction(35902,CJULucm3679,SSRGvtr8016,RZJLzcy5466,N_345288)
reaction(26483,GSCKdah5389,UICJegq0339,TMFChza2511,N_345122)
reaction(4767,YBLVisz4818,KTOFrbx1187,XRDFrid8361,N_336270)
reaction(23282,FMRByji8071,FKJIsuw0754,SZHOebo6159,N_345311)
reaction(24285,RAKUmdz2051,GUVCgrn6080,KMLJjdn6878,N_345322)
reaction(28274,BPMCzze1241,TGWJxbx1452,NNUFlcj9178,N_345333)
reaction(4135,FXCUfzr4497,NVKSsku9298,MJFHlrv6888,N_325791)
reaction(6163,SNQQhsy6151,BUKRaso8966,JRIPztl4311,N_345350)
reaction(3629,AWNEtxd4898,JFXUeso6217,LLMCmzc8432,N_345361)
reaction(6239,IXRWdoz4645,JTTAoxh2000,NXQBguq5649,N_345372)
reaction(4849,VTTHkpq1553,ETSEphy9763,IKWLajt1248,N_339447)
reaction(14062,ONXCzok4374,LUYBlvf6351,RRSLdyi7369,N_343337)
reaction(5002,XJDRerf8684,XCACcus8155,KUUTxru3740,N_345395)
reaction(33003,VPCWugq0863,XDAIpbo7334,SXIRdhz9358,N_345406)
reaction(7899,NXJBfun1921,DLDSjan8024,WDXBuyv7685,N_345417)
reaction(16880,YAOZwka4317,VLHOtfr6942,HPWWyqy0047,N_344017)
reaction(18705,CWINumg6415,HZYAtag3682,IUERpqo4866,N_341202)
reaction(6707,ORFTpqt2232,EOWRwqu0400,XPOJnwn0761,N_345440)
reaction(36351,FIOIbit9545,SNAEqqc4573,FOYWczk9887,N_331615)
reaction(16981,KOYJwpp4177,ZBFTdew2278,DPOOwhv6006,N_345457)
reaction(9421,DQNDihq2535,SBOGcvv7975,TMDXpcw9640,N_345468)
reaction(13627,SNGOtbc8504,WVDMprg9817,ONSEjpv3911,N_332161)
reaction(38277,SISQgsm8294,FLURqxp3160,MHVXtac9954,N_328174)
reaction(22020,QAUOkxq4362,EZBPliz8755,UANMpwl0172,N_342745)
reaction(376,FUGOsxc1972,ROQMdyv0582,RRLJedp4602,N_345497)
reaction(11462,QPYCfro6771,HKVSmhp7122,TUXNcvm9995,N_336977)
reaction(26557,RHNPjgq9249,NCIJkzt5340,ZOASqwb9270,N_336298)
reaction(21405,ERXKdjv8810,QXUXras4517,OTPXucd2067,N_345520)
reaction(14156,HBATyqu4594,VLSDnwm9185,ORIIbrv7188,N_325274)
reaction(18609,ZIFStzf0058,YICKgyl5905,EBPJeyp5142,N_345537)
reaction(14451,PHIOxee4480,YHWEydl6765,KWKBzll8756,N_327238)
reaction(10964,DKGXazf6270,ITAQlqs1105,NGGDgmb6999,N_320483)
reaction(35625,FLERbqi9029,TQGBdth2435,YRPJigj3997,N_343142)
reaction(24724,SAGJcxl0827,ZLCDlsh4937,VNKBxtg2215,N_345566)
reaction(15789,NGTVrhz3652,VWACxqg3561,FTLZfoy0740,N_345577)
reaction(13944,ZIRUjbb6679,WVLFoau1127,SUZEyty9312,N_345588)
reaction(9290,NCKJxzq3287,ROLWujn2883,NVKRyzh1074,N_345599)
reaction(15278,ZDJNwwu6201,MYASoal4750,PYCUvgn9552,N_345610)
reaction(12513,EIXVqby2430,SNFBguv5920,NOYDhsl5965,N_345621)
reaction(2561,GBHImmp0534,YVUZajt3743,NVVAnqz4570,N_345632)
reaction(3633,PFGVifk6347,OTPAqbr3056,KGFIygg6928,N_345643)
reaction(37802,OUPKwyw0285,LDIMzze5735,FSRIgwy1990,N_345654)
reaction(37735,FNLKpcx5184,KJHCeki0726,DNNYean9015,N_345665)
reaction(33436,SCHBjnd9676,KRKGjuy6676,RGBRdtb6501,N_345676)
reaction(24228,YGPRjsu8342,QGSFwxn0351,IVPGjdl0637,N_343878)
reaction(20595,MMNFilf0703,DDEBgxn4137,XUMYtbj9530,N_345693)
reaction(22836,TYLJsiq8831,NDLReks0832,QQREhhl6758,N_345704)
reaction(17717,HOIOmyz6860,IWZWedb7755,JRNIock0671,N_345715)
reaction(1452,QMSVaun3648,INIVlyc3205,FHKWaby7041,N_345726)
reaction(2,TTZDwkt7768,RWQJvxr1212,ZJIHbcz9332,N_345737)
reaction(33537,LYYVzjx0814,ENGRunh7723,PQCQxix0150,N_333568)
reaction(24731,OVLXnmp7823,KEZFcjw7362,FUGCimr1467,N_320791)
reaction(261,NZKSpaj7846,QDQKujf9098,ZZQQomm9567,N_335081)
reaction(9918,RTJSsok6180,QBCSckg5102,KCPDvgw7666,N_330954)
reaction(14813,XAUMmhu8714,MDSPkbj3189,XQOCncd9048,N_332378)
reaction(9655,FXMHxxg2114,IDINlwg8874,THTTtmp2483,N_323188)
reaction(37702,XGXKssj5990,LAZVasb0170,PZGTzmp5108,N_322989)
reaction(22653,UDRWndm1546,CCRUubz6702,JANQdko0139,N_345790)
reaction(31937,GJTVmsp5427,KGMZagn5671,IXJSmfj9120,N_340907)
reaction(9366,ZBGUfnz3775,TVNNowj3910,AJYCvor7408,N_336062)
reaction(23103,WNXQcue4636,UXKAfrx1495,UGAZjuz9333,N_331505)
reaction(26008,FXIXcus0691,IUOKycy3176,SVFJwha2847,N_345819)
reaction(4962,HMIOvxs7834,TIMRzfa2940,BHDToki7950,N_345830)
reaction(4525,MQQLqds4246,LTYOvnm6212,PBRXcth0813,N_345841)
reaction(31206,AHNCrjt7136,WOTUhns2691,NOEOynk3601,N_320846)
reaction(17923,PMOKsex5387,CMIVwld5846,XZBTrni3242,N_326355)
reaction(3296,AFZSbmg2875,HKAAhmw9073,HMMDryj3063,N_345864)
reaction(4097,SHLAbtc3207,DTVWdjy9361,AWBNzaj4478,N_332422)
reaction(13852,ZKCGzmm6969,FBRWbay0841,QRLHpjo6269,N_345881)
reaction(21894,IUVNqhs2062,MLDIbob3048,RHVUavo4113,N_345892)
reaction(32883,EPPLeqt2724,MEGUdxn0344,DUTSroo8360,N_345903)
reaction(3667,VFUZabz7725,AKJSlvu4439,RCRYrsw2660,N_345914)
reaction(14306,HRSHcdc7064,TFQAmec8413,GJVNhae6074,N_345925)
reaction(31460,GFTJwnk8870,DNAFdvr5675,HHMJjlq0923,N_335264)
reaction(35338,VZCTege7787,WWZWanu2435,GOZRdjr0581,N_338831)
reaction(22726,XUGBntb7084,OLGQtgb0127,LCITfua1343,N_328391)
reaction(34006,FYGFitu0129,VGHAkjv7810,GMRXvvr3387,N_345954)
reaction(8999,QYTXsky2605,FDUVbni3751,YAEOynv5894,N_345965)
reaction(21110,SMYYijy4778,QNECnhh0119,SIJErep9215,N_345976)
reaction(16099,OQGMuda9338,LNKRbmt5414,EQAVnnq9648,N_345987)
reaction(10016,BLJVcid4824,LMGCnwt5002,IPBEykx9570,N_322273)
reaction(758,XSGZidv9834,WKSVtpw8272,FDHRykr0212,N_324987)
reaction(17384,TFMCtmn0638,CGHZqte3043,UCNZnse1412,N_335664)
reaction(2422,SMOVcwu5173,JSOSenu8909,DPNYxhr4667,N_346016)
reaction(11685,VJWTcnz1689,HVJOvyt4899,TEHDkmh4791,N_346027)
reaction(2866,THNMdtu3685,KPHJhuf5582,XMCAeoj5761,N_346038)
reaction(15654,GRHKnfe5042,KASPwok2980,EVTOhwv2649,N_322080)
reaction(26888,MHNUzxa3897,JYCRqzb3936,FKMNgiw0459,N_346055)
reaction(36099,FORLctj5324,ZUGNnat5328,OGHGsfn3894,N_343239)
reaction(32286,KDSDdgi1128,MSZPurk3451,ZKOVruz9066,N_323386)
reaction(17258,LZMGead6251,OFJAneq0075,YSYOuke4375,N_346078)
reaction(14063,JTFLduz6437,KIUOwpx4141,VYVMhzf1085,N_346089)
reaction(29055,LVUBdjn5395,BJTBada2303,MKQTbhk4856,N_325164)
reaction(37207,LJOYjko3265,BINYuuu9772,MTUVvlw5622,N_346106)
reaction(7762,CLZAxmz0830,RAQIlru2212,SSGTusm5296,N_346117)
reaction(32690,GDZUibt2883,UAKSyfg2107,UVKHkax2051,N_346128)
reaction(16206,XJPMlui9295,HLADnyi6288,NBUXevr8314,N_342878)
reaction(25146,QVPJpnu4302,GDYGaod4926,NMGYjwo2344,N_346145)
reaction(906,KCZPleb6945,IHDHeoe4741,QQZBflv6539,N_346156)
reaction(26805,BZAJohx8802,LPMNejy4873,POEXefs6238,N_346167)
reaction(33453,DLTYuug7279,OLGImuj8896,ZDCBcjq9330,N_331665)
reaction(18720,NOEYyoc7393,KYTEykv5735,BZPFvma9373,N_346184)
reaction(26824,SSIOkkk3637,PIRCidn1820,TUZSgdh1381,N_346195)
reaction(31834,ZGOPend1318,ERQZcre7952,AMCNiua9662,N_346206)
reaction(39329,QAAQvto3566,EFPMtaz4766,FJLEubc4315,N_346217)
reaction(16270,QQWRmzx6016,WZUTcnf9298,MZVAkco9818,N_346228)
reaction(3782,PCZCjzb5955,PZPZqgv3064,KIJWaat0381,N_346239)
reaction(34484,CRGIxin4504,ILKCodu5356,OXKJgkp9048,N_326671)
reaction(37808,ATYCvcu8056,GVWIgko6293,MIOVubl9186,N_346256)
reaction(24677,KDXIsoo5596,ZVGCcmq5060,OLVAbps8973,N_346267)
reaction(19413,JGMZffr1829,FDWLxpw2513,LHMZjiy5123,N_346278)
reaction(27702,HYWYcpn9917,GAULisb2919,CCTDnkt7869,N_346289)
reaction(22388,GNLCtnt5089,DFLEqve5014,VGNVfbz9219,N_322945)
reaction(17862,YZRAuxk9141,OHSXphf1749,OWLHwjs4829,N_338326)
reaction(13742,MUIPxgo8868,DAILywd8008,ACPAhxc8470,N_346312)
reaction(8329,UIJZkdh6130,DSRHvsw1569,QYNKxwk4044,N_346323)
reaction(35366,DFHCgun1170,MFSVlej3176,IUVLjrc0174,N_330693)
reaction(82,SFMOymw4598,AUJWnpb1753,WKWLfht9446,N_346340)
reaction(29212,FXOXpqu3669,UHQFckg4478,RLTMxvh8026,N_334191)
reaction(7658,FHFAnqm3520,QEXMrua4301,DCIMfyj6532,N_324224)
reaction(35004,EXRXbys9192,DZHAqxa8714,JXVTaey2027,N_323254)
reaction(38499,FTUOqrs4736,PRRBpdp6529,AXLRckq5316,N_336556)
reaction(10426,NIJZaan8799,SVTTxvv4922,QGCKpxn6002,N_344360)
reaction(11210,ZCYZoal3467,TKQRccf6766,ZLYObhz3916,N_346381)
reaction(443,YBOUduz3377,ZOHLluw2563,EZGGcxz4017,N_346392)
reaction(9541,RKDOvuo8324,AUPYzls6853,JSPJhyg6499,N_346403)
reaction(26611,OXADofu1022,MZVMztr5497,MAVUsnh9778,N_346414)
reaction(34271,PQMBeok8945,JDIHcnu6510,SRXDamr1487,N_346425)
reaction(33858,XQTBulm9682,WLOIzae3823,LXFWiml0307,N_346436)
reaction(35909,QJZUdxs7789,BNXQyba2445,AAQOoaq8717,N_346447)
reaction(37733,WIJKmde8540,FTZGssi2601,IFPMedg5816,N_323590)
reaction(2429,GOJLvgo7998,JZXQuil9905,IOYUmxi7600,N_346464)
reaction(28814,PLJYkit2035,BRKVwsw1317,BIFHtbz7830,N_346475)
reaction(2103,NTNEtha6912,MLQPzlv8893,OISFasl4934,N_321523)
reaction(30449,OABDncy0601,YLEWdly0731,UAPJkgh0705,N_334032)
reaction(37871,JZDKvuu5961,OWTCrit8862,COHEzzy8585,N_346498)
reaction(12410,BHLOclr8047,PGYNrpa3771,OBRGuqy5010,N_346256)
reaction(8356,DVMIcmi6096,UYBTkil2824,WNQUqdh8677,N_331665)
reaction(15454,AGGAwol2684,BNEBsgv1967,DWRFccc9433,N_346521)
reaction(4643,MLAOwox5615,ZIDNtgb2066,AYTCtnn0367,N_346532)
reaction(10451,KXKVbax4577,RLVKnti5477,AEHDrkw8141,N_346543)
reaction(12100,RUVXtih1259,BZZDhkf6664,KYNXnta5812,N_346554)
reaction(12861,DQHMvxf4871,NILPjmr0416,VCCMscb0552,N_334881)
reaction(24087,ZQCUvgl4242,HCPRsfa7376,PNFIbcx9710,N_328629)
reaction(4238,WLGXiru2666,XXBWckm8254,DPZUozp6499,N_320824)
reaction(12640,XDUAhpt9016,ZMMPuvk6804,MUOFmzy8651,N_326803)
reaction(9255,OBANjsh7422,WRXVpai4741,FUVSugw1573,N_346589)
reaction(2800,YRVToud3187,SWQNprh2361,ILYGmwm5639,N_340154)
reaction(4966,BKPIrbe5870,XLVWrpk0562,ORVVcgm2881,N_334702)
reaction(31722,WWMTglx3927,TTPEvxr9885,IMUPknb5571,N_328818)
reaction(36048,MEELvht8824,EVMJihk4987,BACMcfy6187,N_334753)
reaction(23433,FMPIlrx2587,RAUMhnv3119,KOGRcrh1517,N_342878)
reaction(22532,TXBBeip8663,LVPQelh6403,ABSQbsc5766,N_346630)
reaction(26939,EAWTlpj7872,KLFDnkk9604,FBBGmax1239,N_346641)
reaction(18644,UIVZwmo7776,ABSOjaz9729,IWWXxbg2493,N_346652)
reaction(38598,IGMThyq1056,HQGCequ6161,NUCDvnm6378,N_344641)
reaction(34972,MUGIlne8445,HARAjsn4784,CKSWpge2235,N_346669)
reaction(30384,TOZTyip2227,FJHNmza9616,CUOSctc9786,N_322223)
reaction(7914,LAZZsxi9938,SETXxat0600,LGSLtzb2232,N_322102)
reaction(21037,AKEOold8807,JEFIxeb3441,QQCBzbo0200,N_335081)
reaction(9116,XAKBsqj0519,DJKTizx3851,DVHFalw0160,N_322240)
reaction(23550,OFQIdmn7656,IPKEuov4607,CPRXuru5105,N_334815)
reaction(34338,HYBBlda5874,TGBGbtg5310,LDSOdpr4214,N_346710)
reaction(31608,FKRXufx7863,VMCRijf4197,OHTJstv3186,N_332067)
reaction(27608,OEFNfll7923,KTSYpmb5914,YUGRstm0962,N_346727)
reaction(32664,QMNBdqz8458,PEAFcya3487,VWDAqtc2991,N_341837)
reaction(7882,UUCMftw2146,VPEGyjo9430,LIOJiio7498,N_346744)
reaction(4609,XTJKnlb6614,EHQGuty5783,WVAVdtz6652,N_346755)
reaction(34465,DNGUlqv0481,EJHQbvm7933,GJGHjlk5964,N_346766)
reaction(28750,QIYTthc4633,TDSFeqo5806,ZKPIxwj4313,N_322422)
reaction(16809,LCCFovr9442,WOYLhsa4684,MJMKurd0454,N_322637)
reaction(330,FRPJufl3233,PYPGhyr5335,HTJIrqw3493,N_346789)
reaction(239,RQCWnzg5811,PAWGhzb6182,SUHEryp7540,N_346800)
reaction(4620,RRGAapz6329,PFHCkjr6500,PJWAskv4409,N_346811)
reaction(39367,BPFWzmo3303,KQEArms4569,LLZXgao9194,N_346822)
reaction(7245,QDMGgpb3746,UEVQqjw9802,AEXCueb0489,N_346833)
reaction(12770,GWFDogs7036,QOXTkta0270,HVJUlzh5993,N_321655)
reaction(9223,XJRUzzj1982,VTRLvra5191,ZVTIimo2070,N_330821)
reaction(16835,HFKAeyn5905,TNZIcfv0642,DPJKikk4605,N_346856)
reaction(6743,MRUMjiw2160,KXARoix8323,RQBJrwd3699,N_334623)
reaction(28282,FAQBztz1886,YHGBhyl8539,NZTJvqv6026,N_330415)
reaction(12101,VWLRjky0987,RLKJnqx7606,MOIBlqq6811,N_346879)
reaction(34921,RSFAolp1114,HGYRyoz7602,RWFAxzc1073,N_346890)
reaction(16111,LBZIulk3351,XUEFkrs0124,DJSLbfp1249,N_346901)
reaction(9870,HIQAthz9146,FHPCkti7038,OLJOblb6409,N_346912)
reaction(6682,UWJTdnj5850,ADXVqlo3905,OYORhmv8397,N_346923)
reaction(24433,PWUVwog4494,SDMQnho4439,COLLdjp1823,N_328119)
reaction(3639,ERWPfsu1388,LQEZgoz2779,CBRTldy1730,N_346940)
reaction(15735,KNASvme1827,BAFVzzh6018,ATQRmyh8743,N_330854)
reaction(37820,WHAKcmp0235,QDGNabm3530,FJGFlgi5154,N_346957)
reaction(18607,AACRksn7016,JLZSvyb8381,ITPNrkw0267,N_335748)
reaction(37234,DSFZiuf6137,ABMPedr7552,ZQEOcbt5510,N_342839)
reaction(30385,KFWKebo0229,VRPJayw4465,LJCKgbp8574,N_346980)
reaction(26438,KVWGsji8095,KFSSujx8281,ALWWphf3539,N_340205)
reaction(22046,YXFWcfw0427,TWBPtkz0563,THEPblr2369,N_346997)
reaction(28230,IXWEoib0291,MARFdga1059,HNKQibp3214,N_340007)
reaction(4102,XVAQvoh4271,QEIMhyy5179,OZEZeon0338,N_333490)
reaction(16308,RVXXrcw3753,QJYNcnp9543,MRBFttq7947,N_346228)
reaction(28237,GCBAwhh9536,MPDLcow3892,CDVMtpe5136,N_326935)
reaction(4115,HNHLjol9016,VHXOjvn4283,YCUQusp5443,N_347032)
reaction(269,OLICzfa3320,FPPUcpy3016,VRUNpcx8238,N_347043)
reaction(35854,CNBMvpd1836,CBTDlpm4144,OFVKvoy8750,N_335917)
reaction(20520,VGKZlsm3643,UZTOeae9319,FMIUjjg9512,N_338431)
reaction(14710,SSKWzxp1431,EVJRwgu6266,RHFUcdq4991,N_347066)
reaction(1575,HVAMeeg4692,YBXZnsl3908,KQHIhis2689,N_347077)
reaction(17419,NUFEmya9161,SLWWonz7043,TAFDaug2722,N_342678)
reaction(13578,RCVUzxg7198,UUFFuog0182,SUZRjqu6009,N_347094)
reaction(21678,MQXLgal1773,EXKLtmd5051,XBKSvza3542,N_347105)
reaction(11519,GMTVmbk3194,KKNSxqk2246,MAAUjsg3726,N_347116)
reaction(38995,ASTGsce1877,BBRNxid8534,UCOUsse5661,N_336523)
reaction(22457,YWMHlzb1421,NNQUtqd9458,QWEPquk5104,N_347133)
reaction(10136,XLYDrhj4223,OAPJbpc7764,ZMUMrrq6524,N_339586)
reaction(32268,FXYLcma8104,JLBGlqx4672,ERPQuyp1058,N_347150)
reaction(33298,AQLCksd4277,VNVLghz8422,EWMSpxi6864,N_347161)
reaction(36734,EOELzgs8526,IDMRyfp2452,FHJFgtq6725,N_324158)
reaction(31960,NXWVfcz2816,SHSZxwe4620,CCFVzao5126,N_331020)
reaction(12054,EWDPndj4257,XFJHvii5922,HIAIvjc3498,N_323149)
reaction(9896,OSGOmtp3485,EUWZnms8106,ZKLZlql5980,N_347190)
reaction(6625,BICEmhn0441,EDBRrxn6994,DRMUzan6925,N_335092)
reaction(14167,HVJJgnb0606,UZULjmd8658,GWIZqse3499,N_331020)
reaction(17097,SYUVulv2182,JOLEmcx6881,EYNHhbw0443,N_347213)
reaction(1704,UIDAhtr3228,VAPIswk5560,FGXZdrz5437,N_347224)
reaction(2728,TDKHdrw1052,JXONghy0032,JUCDsbc9616,N_347235)
reaction(23702,UPKBfrl7510,UZMChja8509,YCUYrim7315,N_324765)
reaction(16416,XNLSiaj0282,KDYOvaj3027,KIOQxuh7082,N_340807)
reaction(26253,CHILtht9932,XJOCesv8529,YXSRidd2667,N_347258)
reaction(17635,FNIRwus1836,XHATzzi6673,WYOOhxg6084,N_346890)
reaction(20229,BFBDdli1646,BEXNkxn8381,CQVPfru0043,N_347275)
reaction(2269,ZADXgvi1044,IUBTmcy7208,SEPUibu4873,N_342131)
reaction(35068,QMZGkbq4641,AXWGevs9862,DWQLujc7694,N_347292)
reaction(39296,FJRRxms1000,QCKFcuy7775,VVYDquq2454,N_347303)
reaction(9184,GUPLrhg7935,HZYTinp2648,UTIRhmw7031,N_347314)
reaction(27345,VTHQuvq4140,FSBRghc3055,WGWLuru4974,N_333390)
reaction(1938,HZMJmvx2470,SWARnqm8717,CPUGyly1686,N_347331)
reaction(13767,SMNZqnu2001,TMQFstm2602,LNEYeoh2507,N_343675)
reaction(31889,VOPOata5670,KPXBxbq6229,DPHLvtm9012,N_341928)
reaction(17970,RPBFvhi7945,MYLQcyf4956,HQOBwjo3463,N_324191)
reaction(18955,HDYZwnu2710,LBLAiec6185,SBKJblf7387,N_347360)
reaction(8059,NIFDnbe2213,LGXVbzv8568,FAYWbia1264,N_330382)
reaction(15906,DPQIbso4347,NHYZdgo7735,NTYWbff9890,N_347377)
reaction(19563,WKORhjz7602,XOSHzwk9329,TFEAtge7696,N_342092)
reaction(14591,TTSTrus7228,CKYXxjn6112,HJPOdgp4686,N_347394)
reaction(9840,CDOEbdi8553,TSIIgcb4283,MHFJioo2456,N_347405)
reaction(39199,XIFTneo1315,TPZYjur1200,LDXYlnm1374,N_347416)
reaction(27071,WDMQmis1921,UEVFjyu2228,UBBBboy6760,N_328851)
reaction(35369,CNLFboh8023,QCZIdlm9657,VZIUmfz4009,N_333842)
reaction(37626,JMGGnkx9281,UBJFxyw9713,DPGOgcc4610,N_343928)
reaction(15692,QOMYhhl1837,WLGJulo4332,ORRGynk3392,N_323932)
reaction(35552,SCKKjld7010,LACWszz9699,ZKCPcgk0136,N_341327)
reaction(33829,RIPNfxb3885,VFRNugx7896,PLCDoyy4876,N_347457)
reaction(17982,DMMKtcx1991,UNKExqn5976,FOIBchd6103,N_326449)
reaction(6835,SDCBwun0765,PNICzrg2688,TXXHjwi4515,N_347474)
reaction(32580,DAWYvdn1430,MVNQtdt3211,GPCXvus0187,N_334366)
reaction(4868,WVWJuhi0126,RDEAtgn6612,SECNoyu5430,N_347491)
reaction(37604,KGWMcat5186,BEDOnrn1925,FMXKhod4002,N_347502)
reaction(11975,FIFYmzh8447,QRKLyxk2379,XOQViuy4556,N_339715)
reaction(25710,DUOPtik5621,PYECgps7685,LHCDtqh5321,N_325098)
reaction(3069,IJGFlsf2290,WPGWhfx0442,ZWRVxyz1679,N_337525)
reaction(25446,HPULvli5856,UPQBxpk8696,DGPMsmb7998,N_347531)
reaction(17531,ZJQVkru5118,PHRHwlo3676,UYENxll6363,N_347542)
reaction(11712,HARMrdi3772,LNJOnyj4763,PGYRipt8514,N_347553)
reaction(18654,MENIbhs9626,CXQDxkz4807,EGFSuey6643,N_344096)
reaction(16391,RLMYigs4446,EBQWvhp6370,XHDActl3441,N_347570)
reaction(35002,MGUYdja0778,WVBTvii3619,LIXStqk4919,N_321644)
reaction(4763,GLCIefd4799,RSUFvrd7279,TMLDltn5419,N_341287)
reaction(39644,ANJSewj6656,PVSXgmc4728,KWTMxlt5141,N_336400)
reaction(22737,MTWFsbm7011,TFTYisa1686,PVCLxsz7029,N_347599)
reaction(28908,HTMIkaf1878,GQPPjip8889,KTHPvie5585,N_347610)
reaction(19981,PEUXevx0389,QEVVblc4166,HUPEhfv1299,N_347621)
reaction(7925,YHWEnsh2601,OAWXhxm9515,JNIMnpq6638,N_347632)
reaction(18134,ARBTuzj0001,GHSOwez8178,XSEAgpr1576,N_325324)
reaction(1595,HVKGzgh9840,QCBZvwe2373,GIDYfof8574,N_347649)
reaction(11835,YKRImxa9122,FBXIfow1246,FASZyhm1726,N_341467)
reaction(20415,GYDLlhh6332,CFUQcwu7562,MSOIhds6835,N_331226)
reaction(33302,QLWGoln3168,WFAJdqd2948,EBYVpiz1553,N_347672)
reaction(9019,XVWMghn7486,DOCTerz5231,SHPJsjo6128,N_347683)
reaction(37336,DVLBpps8697,KQTGmkn7698,YWUWqmn0966,N_339369)
reaction(17815,SRTWywb5241,WBTUitg1832,QSVUjue9724,N_334043)
reaction(22213,GBNYdmp7749,PHYEmhm0964,RZJQfnd1845,N_347706)
reaction(37839,PWSHdxe9398,TUBRand6637,WSQRjoz2330,N_327288)
reaction(14659,VSAFmjs5001,XPRLsum5067,EMVAxnw9407,N_334488)
reaction(23793,KBKElii1635,VURXwub8592,PRYWrwt2221,N_347729)
reaction(24499,ZLGWznu8474,AUFEehr7422,SCSOxgt0688,N_347740)
reaction(6065,ZVCOuul5281,SCLAoth2751,CWVIxbq1570,N_347751)
reaction(11319,CCDUigy1660,UCELdnj3468,TRJMkqf2885,N_346425)
reaction(18587,JCZDqsd7791,YLJGqfm6593,BJXIsgd4295,N_340024)
reaction(30912,PCLZltb4373,RUPUpjx8954,NUEIfch3900,N_347774)
reaction(10791,XVGFigu8627,CUOVjli5056,DUPZyyy2634,N_336181)
reaction(31684,FIDXrjc1462,MKPQqar7111,XFYDocj3575,N_337285)
reaction(22955,BUYJptn4370,IUTRhmv6422,TKKRnmi0085,N_347797)
reaction(11732,GIXUsrv0649,YCIRufr8542,IGYMxdn5447,N_347808)
reaction(28363,EWDMypv2323,KNDCgeb2460,ZRTWqrz9676,N_346744)
reaction(21284,HSFEbha8075,BRDOlab3887,VKSGzri8112,N_320945)
reaction(8333,URNWjsn2523,NOFVqax3874,JJSRlpl6757,N_347831)
reaction(29761,FFKYdyv9753,PDOScft7951,WFIYwtr0762,N_347842)
reaction(20058,MLUDlhk3272,SICTfad7120,BXSJqrh7030,N_347683)
reaction(35071,KDGVkmy1125,ICAXbyl5470,PBMPsuw3398,N_347859)
reaction(30808,BRFTqsj2257,CQERuuw3326,CZMDwsp9400,N_347870)
reaction(28428,TRFMker3689,KIUScii0047,DUJUmnc1422,N_346256)
reaction(39554,OXIAkpi8317,JBBBbew0383,LCTBxta9060,N_332528)
reaction(11664,YCGCtue6006,MLBWsma4405,GTUHbyf2826,N_335003)
reaction(37640,YXTFxrh3374,HPKYeku1253,PXTMxjj2816,N_347899)
reaction(2990,DSPFjdx9197,PJKVjza8751,JRLUxqa7326,N_347910)
reaction(15949,PAKWvsp9775,SZGOkdv5709,AEHHcdw3673,N_347921)
reaction(30996,ECWLabd4271,RZQToll8391,BSTKqtb0084,N_347932)
reaction(31215,XQNSdfa2908,UECKwva5828,WJQGerw1841,N_340662)
reaction(23035,BNIScoz4072,RLQNmht4100,CLVQjqe3990,N_344731)
